Feature,Importance_Mean,Importance_Std
MntMeatProducts,0.16357302350447905,0.022699616109193903
Marital_Status,0.14080345374232933,0.01868694873354007
Recency,0.1266724907002808,0.02404493464844808
NumCatalogPurchases,0.12148509320335892,0.030433840980017716
Customer_Tenure_Days,0.11810139377309034,0.03163405523320344
Teenhome,0.08837941209252659,0.023649718950816436
MntSweetProducts,0.08417328636191712,0.018391688102163958
MntGoldProds,0.07951805622468917,0.021519250564247062
Education,0.07623034075673833,0.01974904786602058
NumDealsPurchases,0.06915425001466655,0.01542729916456738
NumWebPurchases,0.06564448599398497,0.024834868007875818
Income,0.06527228983932674,0.02148402844671462
MntFishProducts,0.05610236040570556,0.0197766929767921
NumWebVisitsMonth,0.04663215996700916,0.022713039001788685
Kidhome,0.042275228840512866,0.017450043911006054
AcceptedCmp5,0.04113983551978055,0.01840796440980513
NumStorePurchases,0.036553340620335176,0.022238757201995054
Total_Accepted_Campaigns,0.03535418750149098,0.021781201791562507
MntWines,0.033895092587249286,0.014074164722483866
Total_Children,0.03380354078726318,0.019152704393390774
Age,0.031243530277658648,0.011988681562748125
Total_Purchases,0.025933058608249526,0.01591707638353737
MntFruits,0.02316592412780518,0.014942551964450167
AcceptedCmp4,0.01670541656534651,0.006819496624850111
Spending_to_Income_Ratio,0.01649308636763337,0.011448008601962196
AcceptedCmp1,0.015541300655220736,0.016403869323814723
Total_Spending,0.014532373270226695,0.023247077970888666
Complain,0.0059592114793208025,0.006712534863967083
AcceptedCmp2,0.005796844341280538,0.00496103797180403
AcceptedCmp3,0.005348755864816335,0.00570993001762338
Purchases_per_Recency,0.004167466887119697,0.010421834599258854
